IBAN,clientes,tipoCuenta,saldo,nominaMes,mediaNomina
ES1001551318117086038214,'399be0a2-9285-3f8c-bb30-3cab5e43acd4','Personal',61866.19,1850.50,2000
ES9400191424391295461666,'9d66f444-253a-3288-bf4b-da0346060e37','Personal',31946,2200.10,1100
ES0200111595599590239344,'e59fdfe5-840a-3cdb-af1a-31d98b2f7863','Ahorros',1912.86,222.25,334.386
ES8231129406898501710837,'075d1279-e8c8-3868-a3c4-2f43cefa7b49','Empresarial',770065.01,15098.77630,69363
ES3401853620396807742947,'44b61fb5-7364-3dfd-ad25-13453efd9b5c','Empresarial',500015.73,20954.89,68872.97
ES4500043037319066375066,'f17ab904-7359-34c6-9896-95c828332658','Empresarial',771732.67,274315.64,3005000
ES5202180395834796389622,'f3e41661-c132-3338-860e-7bde96b4c484','Empresarial',1000000,570600.10,600000
ES5815024923082224260803,'95a342b4-e3d8-3761-beba-2b610ac3fc77','Empresarial',577475.83,18000,35000
ES8620052355135806122814,'21152f4b-b280-380c-971a-bc54c2a72765','Empresarial',802508,82000,90000
ES2520492467789497881377,'641c67b2-df77-392f-9ef2-b0cb29ff9f7f','Empresarial',923435,245000,200000
ES8830933816085803854628,'30a37f22-45bd-3ea3-b910-c15f2d20b8cb','Empresarial',809236.23,100000,100000
ES5601148740177915584141,'9c496750-76d5-3868-84b1-cf9e0b02a61a','Empresarial',687153.82,18,25000,25600
ES6820748839112848986438,'4c2aab6e-9f42-34a8-8f7e-1649e3906574','Empresarial',881764.07,90000,90000
ES5401220331370322420813,'1e2d2465-5825-372c-9cd8-05f2611ba3ed','Empresarial',811878,25000,13400
